[1/55] vk-service-001
[2/55] vk-service-052
[3/55] vk-service-002
[4/55] vk-service-053
[5/55] vk-service-054
[6/55] vk-service-004
[7/55] vk-service-055
[8/55] vk-service-006
[9/55] vk-service-012
[10/55] vk-service-014
[11/55] vk-service-017
[12/55] vk-service-020
[13/55] vk-service-025
[14/55] vk-service-003
[15/55] vk-service-027
[16/55] vk-service-028
[17/55] vk-service-005
[18/55] vk-service-029
[19/55] vk-service-030
[20/55] vk-service-007
[21/55] vk-service-031
[22/55] vk-service-008
[23/55] vk-service-032
[24/55] vk-service-009
[25/55] vk-service-033
[26/55] vk-service-010
[27/55] vk-service-034
[28/55] vk-service-011
[29/55] vk-service-036
[30/55] vk-service-013
[31/55] vk-service-037
[32/55] vk-service-015
[33/55] vk-service-016
[34/55] vk-service-018
[35/55] vk-service-042
[36/55] vk-service-019
[37/55] vk-service-021
[38/55] vk-service-022
[39/55] vk-service-023
[40/55] vk-service-024
[41/55] vk-service-048
[42/55] vk-service-049
[43/55] vk-service-050
[44/55] vk-service-026
[45/55] vk-service-035
[46/55] vk-service-038
[47/55] vk-service-039
[48/55] vk-service-040
[49/55] vk-service-041
[50/55] vk-service-043
[51/55] vk-service-044
[52/55] vk-service-045
[53/55] vk-service-046
[54/55] vk-service-047
[55/55] vk-service-051
saved /Users/radamir/Desktop/work/vedma/data/vk-services/detail/reports/_batch_results.json
