sourceId,titleRu,slugSuggestion,categorySuggestion,directionSuggestion,priceRaw,priceAmountRub,durationRaw,sourceUrl,sourceItemUrl,downloadedImagePaths,notes
vk-service-001,ОБРЯД СВАРОГА «КОВАНАЯ СУДЬБА»,obryad-svaroga-kovanaya-sudba,Деловые услуги,protection,5 500 ₽,5500,,https://vk.com/uslugi-226854094?screen=group&section_id=HUkaVBkFWVd2RwcDWVg2,https://vk.com/market/product/obryad-svaroga-kovanaya-sudba-226854094-13722618,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-002,Защита Себека,zaschita-sebeka,Деловые услуги,protection,5 500 ₽,5500,,https://vk.com/uslugi-226854094?screen=group&section_id=HUkaVBkFWVd2RwcDWVg2,https://vk.com/market/product/zaschita-sebeka-226854094-13689657,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-003,Пробуждение и усиление Ведовской Силы,probuzhdenie-i-usilenie-vedovskoy-sily,Деловые услуги,other,6 900 ₽,6900,,https://vk.com/uslugi-226854094?screen=group&section_id=HUkaVBkFWVd2RwcDWVg2,https://vk.com/market/product/probuzhdenie-i-usilenie-vedovskoy-sily-226854094-13687525,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-004,"Защита ""Ведьмин Круг""",zaschita-vedmin-krug,Деловые услуги,protection,6 900 ₽,6900,,https://vk.com/uslugi-226854094?screen=group&section_id=HUkaVBkFWVd2RwcDWVg2,https://vk.com/market/product/zaschita-quotvedmin-krugquot-226854094-13685598,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-005,КТО ИЛИ ЧТО ВАС ВДОХНОВЛЯЕТ? РАСЧЁТ ПО ДАТЕ РОЖДЕНИЯ,kto-ili-chto-vas-vdohnovlyaet-raschyot-po-date-rozhdeniya,Деловые услуги,diagnostics,от 550 ₽,550,,https://vk.com/uslugi-226854094?screen=group&section_id=HUkaVBkFWVd2RwcDWVg2,https://vk.com/market/product/kto-ili-chto-vas-vdokhnovlyaet-raschyot-po-date-rozhdeniya-226854094-13677093,,Description not available: VK detail pages blocked by robot challenge during fetch. From-price service; exact tier unknown. No image captured.
vk-service-006,Распаковка Матрицы Судьбы,raspakovka-matritsy-sudby,Деловые услуги,diagnostics,7 500 ₽,7500,,https://vk.com/uslugi-226854094?screen=group&section_id=HUkaVBkFWVd2RwcDWVg2,https://vk.com/market/product/raspakovka-matritsy-sudby-226854094-13629692,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-007,Отдых по Дате Рождения,otdyh-po-date-rozhdeniya,Деловые услуги,other,от 550 ₽,550,,https://vk.com/uslugi-226854094?screen=group&section_id=HUkaVBkFWVd2RwcDWVg2,https://vk.com/market/product/otdykh-po-date-rozhdenia-226854094-13625102,,Description not available: VK detail pages blocked by robot challenge during fetch. From-price service; exact tier unknown. No image captured.
vk-service-008,Освобождение эмоций,osvobozhdenie-emotsiy,Деловые услуги,other,5 000 ₽,5000,,https://vk.com/uslugi-226854094?screen=group&section_id=HUkaVBkFWVd2RwcDWVg2,https://vk.com/market/product/osvobozhdenie-emotsy-226854094-13620100,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-009,Никола Летний. Защита и благословение пути,nikola-letniy-zaschita-i-blagoslovenie-puti,Деловые услуги,protection,5 000 ₽,5000,,https://vk.com/uslugi-226854094?screen=group&section_id=HUkaVBkFWVd2RwcDWVg2,https://vk.com/market/product/nikola-letniy-zaschita-i-blagoslovenie-puti-226854094-13620099,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
vk-service-010,Никола Зимний. Помощь и защита.,nikola-zimniy-pomosch-i-zaschita,Деловые услуги,protection,5 000 ₽,5000,,https://vk.com/uslugi-226854094?screen=group&section_id=HUkaVBkFWVd2RwcDWVg2,https://vk.com/market/product/nikola-zimniy-pomosch-i-zaschita-226854094-13620096,,Description not available: VK detail pages blocked by robot challenge during fetch. No image captured.
