id,type,title,category,priceLabel,shortDescription,sourceUrl
vk-p-1,product,Браслет из лунного камня «Очарование»,Магия Жизни Bracelets,950 ₽,Лунный камень считается камнем Луны и ассоциируется с её циклами.,https://vk.com/market-226854094?w=product-226854094_9737916
vk-s-2,service,Диагностика негатива,Магия Жизни Self-knowledge and stress management,"3,500 ₽",Когда в Жизни начинает все рушится и нет понимания происходящей ситуации.,https://vk.com/market-226854094?w=product-226854094_9780487
vk-p-3,product,Алтарное покрывало,Магия Жизни Souvenirs and gifts,550 ₽,Идеально подходит для небольших поверхностей.,https://vk.com/market-226854094?w=product-226854094_11728010
vk-p-4,product,"Алтарная подставка ""Архангел Михаил""",Магия Жизни Souvenirs and gifts,"1,900 ₽","Алтарная подставка «Архангел Михаил»Создай своё место Силы для ритуальной работыАрхангел Михаил 🛡💪Его имя означает ""Кто подобен Богу"" или «Кто как Бог».",https://vk.com/market-226854094?w=product-226854094_12690306
vk-p-5,product,Алтарная подставка «Чакровая гармония»,Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Чакровая гармония»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: алюминийДоставка: в любую точку МираПо всем вопросам пиши,https://vk.com/market-226854094?w=product-226854094_12564608
vk-s-6,service,"Трансформационная игра ""Денежный магнит""",Магия Жизни Money and success,"9,555 ₽",Глубокая проработка и анализ денежного ресурса.,https://vk.com/market-226854094?w=product-226854094_9745558
vk-p-7,product,"Алтарная подставка ""Архангел Гавриил""",Магия Жизни Souvenirs and gifts,"1,900 ₽","Алтарная подставка «Архангел Гавриэль»Создай своё место Силы для ритуальной работыАрхангел Гавриил (Гавриэль) 📜💬Гавриил – это Архангел, связанный с новыми начинаниями и пророчества",https://vk.com/market-226854094?w=product-226854094_12690357
vk-p-8,product,Коробок для спичек,Магия Жизни Action figures and fan merch,750 ₽,Металлическая коробочка для хранения спичек.,https://vk.com/market-226854094?w=product-226854094_11993088
vk-p-9,product,"Алтарная подставка ""Архангел Рафаил""",Магия Жизни Souvenirs and gifts,"1,900 ₽","Алтарная подставка «Архангел Рафаил»Создай своё место Силы для ритуальной работыАрхангел Рафаил 💚🩹Рафаил – великий целитель, его имя значит ""Бог исцеляет"".",https://vk.com/market-226854094?w=product-226854094_12690325
vk-p-10,product,Алтарная подставка «Анубис»,Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Анубис»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: деревоДоставка: в любую точку МираПо всем вопросам пишите в личку ил,https://vk.com/market-226854094?w=product-226854094_12564603
vk-p-11,product,"Алтарная подставка ""Архангел Гавриил""",Магия Жизни Souvenirs and gifts,"1,900 ₽","Алтарная подставка «Архангел Гавриэль»Создай своё место Силы для ритуальной работыАрхангел Гавриил (Гавриэль) 📜💬Гавриил – это Архангел, связанный с новыми начинаниями и пророчества",https://vk.com/market-226854094?w=product-226854094_12690345
vk-p-12,product,Коробок для спичек,Магия Жизни Action figures and fan merch,750 ₽,Металлическая коробочка для хранения спичек.,https://vk.com/market-226854094?w=product-226854094_11993150
vk-p-13,product,"Алтарная подставка ""Архангел Гавриил""",Магия Жизни Souvenirs and gifts,"1,900 ₽","Алтарная подставка «Архангел Гавриэль»Создай своё место Силы для ритуальной работыАрхангел Гавриил (Гавриэль) 📜💬Гавриил – это Архангел, связанный с новыми начинаниями и пророчества",https://vk.com/market-226854094?w=product-226854094_12690342
vk-p-14,product,"Алтарная подставка «Анубис""",Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Анубис»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: алюминийДоставка: в любую точку МираПо всем вопросам пишите в личку ,https://vk.com/market-226854094?w=product-226854094_12564600
vk-p-15,product,Коробок для спичек,Магия Жизни Action figures and fan merch,750 ₽,Металлическая коробочка для хранения спичек.,https://vk.com/market-226854094?w=product-226854094_11993302
vk-p-16,product,Алтарная подставка «Анубис»,Магия Жизни Souvenirs and gifts,"1,900 ₽",Алтарная подставка «Анубис»Создай своё место Силы для ритуальной работыДиаметр: 20 смЦена: 1900 рублейМатериал: алюминийДоставка: в любую точку МираПо всем вопросам пишите в личку ,https://vk.com/market-226854094?w=product-226854094_12564598
vk-p-17,product,Коробок для спичек,Магия Жизни Action figures and fan merch,750 ₽,Металлическая коробочка для хранения спичек.,https://vk.com/market-226854094?w=product-226854094_11993344
